,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
177,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0.037735849,0,0.018867925,0.018867925,0.924528302,1,0.137931034,0.75862069,0.103448276,0,0
178,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0.071428571,0.017857143,0.035714286,0,0.875,1,0.090909091,0.8,0.109090909,0,0
179,1,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,0.888888889,0,0,0,0.111111111,0.056603774,0.132075472,0,0.018867925,0.79245283,1,0,0.862745098,0.117647059,0,0.019607843
180,1,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,0.8,0,0,0,0.2,0.056603774,0.056603774,0,0.018867925,0.867924528,1,0.072727273,0.8,0.109090909,0,0.018181818
181,0.944444444,0,0,0.055555556,0,0.75,0.211538462,0.019230769,0.019230769,1,0,0,0,0,0.137931034,0,0,0.034482759,0.827586207,1,0.107142857,0.785714286,0.107142857,0,0
182,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0.107142857,0.071428571,0,0,0.821428571,1,0,0.846153846,0.115384615,0,0.038461538
183,1,0,0,0,0,0.661016949,0.186440678,0.13559322,0.016949153,1,0,0,0,0,0.019607843,0.019607843,0,0.019607843,0.941176471,1,0.105263158,0.771929825,0.105263158,0,0.01754386
184,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,1,0,0,0,0,0.056603774,0.037735849,0,0.018867925,0.886792453,1,0.13559322,0.745762712,0.101694915,0,0.016949153
185,0.947368421,0,0,0.052631579,0,0.629032258,0.177419355,0.177419355,0.016129032,1,0,0,0,0,0.019230769,0,0.019230769,0.019230769,0.942307692,1,0.056603774,0.830188679,0.113207547,0,0
186,0.944444444,0,0,0.055555556,0,0.639344262,0.180327869,0.163934426,0.016393443,1,0,0,0,0,0.072727273,0.018181818,0.018181818,0.018181818,0.872727273,1,0,0.88,0.12,0,0
