,"('S', ('VP',))","('S', ('S', 'NPA'))","('S', ('NPS', 'VP'))","('S', ('NPA', 'S'))","('VP', ('NPA', 'VP'))","('VP', ('V',))","('VP', ('VP', 'NPA'))","('VP', ('NPO', 'V'))","('NPS', ('NPS', 'NPA'))","('NPS', ('NPA', 'NPS'))","('NPS', 'np2')","('NPS', 'np1')","('NPS', 'np')","('NPO', ('NPO', 'NPA'))","('NPO', ('NPA', 'NPO'))","('NPO', 'np2')","('NPO', 'np1')","('NPO', 'np')","('NPA', ('NPA', 'NPA'))","('NPA', 'np2')","('NPA', 'np1')","('NPA', 'np')","('V', 'v')"
59,0.75,0.019230769230769232,0.21153846153846154,0.019230769230769232,0.0,0.08771929824561403,0.12280701754385964,0.7894736842105263,0.0,0.15384615384615385,0.0,0.0,0.8461538461538461,0.0,0.021739130434782608,0.21739130434782608,0.717391304347826,0.043478260869565216,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.42857142857142855,1.0
60,0.8727272727272727,0.03636363636363636,0.03636363636363636,0.05454545454545454,0.09523809523809523,0.09523809523809523,0.1111111111111111,0.6984126984126984,0.0,0.0,0.0,0.0,1.0,0.020833333333333332,0.0625,0.20833333333333334,0.7083333333333334,0.0,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.7083333333333334,1.0
61,0.8928571428571429,0.10714285714285714,0.0,0.0,0.14516129032258066,0.0967741935483871,0.04838709677419355,0.7096774193548387,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.2,0.68,0.0,0.038461538461538464,0.038461538461538464,0.19230769230769232,0.7307692307692307,1.0
62,0.7692307692307693,0.1076923076923077,0.0,0.12307692307692308,0.10344827586206896,0.1206896551724138,0.034482758620689655,0.7413793103448276,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.22727272727272727,0.75,0.0,0.07142857142857142,0.03571428571428571,0.21428571428571427,0.6785714285714286,1.0
63,0.7419354838709677,0.04838709677419355,0.06451612903225806,0.14516129032258066,0.017543859649122806,0.10526315789473684,0.10526315789473684,0.7719298245614035,0.0,0.2,0.0,0.0,0.8,0.022222222222222223,0.0,0.2222222222222222,0.7555555555555555,0.0,0.0,0.047619047619047616,0.23809523809523808,0.7142857142857143,1.0
64,0.7796610169491526,0.15254237288135594,0.06779661016949153,0.0,0.10714285714285714,0.10714285714285714,0.0,0.7857142857142857,0.0,0.2,0.0,0.0,0.8,0.0,0.08333333333333333,0.20833333333333334,0.6875,0.020833333333333332,0.045454545454545456,0.045454545454545456,0.2727272727272727,0.6363636363636364,1.0
65,0.12698412698412698,0.0,0.6666666666666666,0.20634920634920634,0.0,0.847457627118644,0.15254237288135594,0.0,0.02127659574468085,0.0851063829787234,0.19148936170212766,0.7021276595744681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.2222222222222222,0.7037037037037037,1.0
66,0.11666666666666667,0.0,0.7166666666666667,0.16666666666666666,0.0,0.8620689655172413,0.13793103448275862,0.0,0.02,0.12,0.2,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.2222222222222222,0.7037037037037037,1.0
67,0.1016949152542373,0.03389830508474576,0.7457627118644068,0.11864406779661017,0.0,0.8771929824561403,0.12280701754385964,0.0,0.019230769230769232,0.1346153846153846,0.19230769230769232,0.6538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.19230769230769232,0.7307692307692307,1.0
68,0.08928571428571429,0.07142857142857142,0.8035714285714286,0.03571428571428571,0.01818181818181818,0.9090909090909091,0.07272727272727272,0.0,0.0,0.19642857142857142,0.17857142857142858,0.6071428571428571,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.038461538461538464,0.19230769230769232,0.6923076923076923,1.0
