,"('S', ('VP',))","('S', ('VP', 'NP'))","('S', ('NP', 'VP'))","('S', ('NP', 'S'))","('S', ('S', 'NP'))","('VP', ('VP', 'NP'))","('VP', ('V',))","('VP', ('NP', 'VP'))","('VP', ('NP', 'V'))","('VP', ('V', 'NP'))","('NP', 'np')","('NP', ('NP', 'NP'))","('V', 'v')"
188,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
189,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
190,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
191,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
192,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
193,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
194,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
195,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
196,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
197,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
198,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
199,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
200,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
201,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
202,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
203,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
204,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
205,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
206,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
207,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
208,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
209,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
210,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
211,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
212,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
213,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
214,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
215,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
216,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
217,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
218,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
219,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
