,"('S', ('VP', 'NP'))","('S', ('NP', 'VP'))","('S', ('NP', 'S'))","('S', ('VP',))","('S', ('S', 'NP'))","('VP', ('VP', 'NP'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('NP', 'V'))","('NP', ('NP', 'NP'))","('NP', 'np')","('V', 'v')"
55,0.0,0.5789473684210527,0.10526315789473684,0.2982456140350877,0.017543859649122806,0.037037037037037035,0.037037037037037035,0.2777777777777778,0.5740740740740741,0.07407407407407407,0.08,0.92,1.0
56,0.05660377358490566,0.6981132075471698,0.05660377358490566,0.18867924528301888,0.0,0.037037037037037035,0.037037037037037035,0.24074074074074073,0.6111111111111112,0.07407407407407407,0.06756756756756757,0.9324324324324325,1.0
57,0.018518518518518517,0.7407407407407407,0.05555555555555555,0.16666666666666666,0.018518518518518517,0.0196078431372549,0.0,0.3137254901960784,0.5686274509803921,0.09803921568627451,0.028169014084507043,0.971830985915493,1.0
58,0.0,0.7222222222222222,0.018518518518518517,0.2037037037037037,0.05555555555555555,0.017241379310344827,0.1206896551724138,0.27586206896551724,0.5517241379310345,0.034482758620689655,0.0,1.0,1.0
59,0.07272727272727272,0.7090909090909091,0.05454545454545454,0.12727272727272726,0.03636363636363636,0.03773584905660377,0.018867924528301886,0.22641509433962265,0.6037735849056604,0.11320754716981132,0.0,1.0,1.0
60,0.0,0.7592592592592593,0.0,0.16666666666666666,0.07407407407407407,0.17647058823529413,0.08823529411764706,0.058823529411764705,0.6617647058823529,0.014705882352941176,0.014285714285714285,0.9857142857142858,1.0
61,0.03225806451612903,0.6129032258064516,0.04838709677419355,0.16129032258064516,0.14516129032258066,0.03508771929824561,0.08771929824561403,0.12280701754385964,0.7192982456140351,0.03508771929824561,0.014285714285714285,0.9857142857142858,1.0
62,0.08620689655172414,0.5172413793103449,0.0,0.25862068965517243,0.13793103448275862,0.0,0.0196078431372549,0.11764705882352941,0.5490196078431373,0.3137254901960784,0.041666666666666664,0.9583333333333334,1.0
63,0.0,0.7321428571428571,0.017857142857142856,0.16071428571428573,0.08928571428571429,0.08928571428571429,0.017857142857142856,0.16071428571428573,0.6785714285714286,0.05357142857142857,0.0547945205479452,0.9452054794520548,1.0
64,0.0,0.6833333333333333,0.016666666666666666,0.15,0.15,0.05454545454545454,0.03636363636363636,0.14545454545454545,0.7636363636363637,0.0,0.06756756756756757,0.9324324324324325,1.0
65,0.03278688524590164,0.6557377049180327,0.03278688524590164,0.13114754098360656,0.14754098360655737,0.03571428571428571,0.07142857142857142,0.125,0.7321428571428571,0.03571428571428571,0.014285714285714285,0.9857142857142858,1.0
66,0.06557377049180328,0.6229508196721312,0.03278688524590164,0.13114754098360656,0.14754098360655737,0.03389830508474576,0.11864406779661017,0.0847457627118644,0.7457627118644068,0.01694915254237288,0.014285714285714285,0.9857142857142858,1.0
67,0.0,0.6666666666666666,0.017543859649122806,0.21052631578947367,0.10526315789473684,0.16129032258064516,0.03225806451612903,0.06451612903225806,0.6774193548387096,0.06451612903225806,0.0547945205479452,0.9452054794520548,1.0
68,0.03125,0.59375,0.109375,0.15625,0.109375,0.14754098360655737,0.03278688524590164,0.03278688524590164,0.7704918032786885,0.01639344262295082,0.014285714285714285,0.9857142857142858,1.0
69,0.03125,0.59375,0.140625,0.15625,0.078125,0.16393442622950818,0.01639344262295082,0.04918032786885246,0.7540983606557377,0.01639344262295082,0.0,1.0,1.0
70,0.05555555555555555,0.7037037037037037,0.018518518518518517,0.16666666666666666,0.05555555555555555,0.019230769230769232,0.019230769230769232,0.23076923076923078,0.5769230769230769,0.15384615384615385,0.028169014084507043,0.971830985915493,1.0
71,0.0,0.65,0.06666666666666667,0.18333333333333332,0.1,0.05357142857142857,0.05357142857142857,0.19642857142857142,0.6428571428571429,0.05357142857142857,0.0,1.0,1.0
72,0.0,0.6451612903225806,0.03225806451612903,0.16129032258064516,0.16129032258064516,0.03636363636363636,0.05454545454545454,0.14545454545454545,0.7090909090909091,0.05454545454545454,0.014285714285714285,0.9857142857142858,1.0
73,0.0,0.639344262295082,0.01639344262295082,0.18032786885245902,0.16393442622950818,0.019230769230769232,0.019230769230769232,0.15384615384615385,0.6538461538461539,0.15384615384615385,0.014285714285714285,0.9857142857142858,1.0
74,0.01639344262295082,0.639344262295082,0.01639344262295082,0.16393442622950818,0.16393442622950818,0.07407407407407407,0.0,0.09259259259259259,0.7222222222222222,0.1111111111111111,0.041666666666666664,0.9583333333333334,1.0
75,0.125,0.46875,0.078125,0.1875,0.140625,0.0,0.0,0.06,0.72,0.22,0.041666666666666664,0.9583333333333334,1.0
76,0.08064516129032258,0.5161290322580645,0.16129032258064516,0.20967741935483872,0.03225806451612903,0.10526315789473684,0.017543859649122806,0.10526315789473684,0.7017543859649122,0.07017543859649122,0.041666666666666664,0.9583333333333334,1.0
